id,type,name,latitude,longitude,capacity,access
910746522,node,,38.7171453,-9.2385228,,
911134242,node,Parque estacionamento acesso à praia,32.6743564,-16.8021831,,
915620717,node,,38.7689252,-9.2956606,,yes
926639676,node,,33.0289626,-16.381207,,
938890174,node,,37.1778535,-7.4701115,,
940748110,node,,37.1748543,-7.4211992,,
942609293,node,,38.0131355,-7.8602469,,
948376542,node,kartodromo,37.2317592,-8.6361632,,
954702767,node,,40.2200483,-8.415209,,
956418555,node,,37.1513809,-8.5526337,,customers
960214820,node,,37.2437493,-7.7063838,,
964687572,node,,40.5730374,-8.4468091,,
971093492,node,,32.826241,-17.1102403,,yes
972150884,node,,32.8229107,-17.1045791,,
974138062,node,Bairo,32.8223989,-17.1036768,,
976210195,node,,38.7046717,-9.2275791,,
976795646,node,,32.8495056,-17.1962318,,
977821338,node,Toyota,32.6559543,-16.9407653,,private
979716912,node,"Serra D,Agua",32.8213264,-17.1037365,11,
983167486,node,Farroubo,32.8262085,-17.1112204,,
991862023,node,,32.8030036,-17.0459052,,
995506490,node,Parque do Lidl,40.5783287,-8.4510742,,
1002824056,node,,41.6763951,-8.1827975,,
1015875410,node,,37.7846792,-25.5007535,,
1019042081,node,,38.7266434,-9.2177161,,
