Nome;TipoPosto;Municipio;Preco;Marca;Combustivel;DataAtualizacao;Distrito;Morada;Localidade;CodPostal;Latitude;Longitude
"INÁCIO & TORRE, LDA";"Outro";"Rio Maior";"2,004 €";"GALP";"Gasolina especial 98";"2025-03-31 13:10";"Santarém";"EN 1 Km 73,2";"Frieiria";"2040-108";39.340975;-8.949312
"Deleite do Viajante, Lda.";"Outro";"Sabrosa";"1,694 €";"GALP";"Gasóleo simples";"2025-03-31 13:10";"Vila Real";"Av. dos Combatentes da Grande Guerra, 17";"Sabrosa";"5060-302";41.2658;-7.57667
"Deleite do Viajante, Lda.";"Outro";"Sabrosa";"1,754 €";"GALP";"Gasóleo especial";"2025-03-31 13:10";"Vila Real";"Av. dos Combatentes da Grande Guerra, 17";"Sabrosa";"5060-302";41.2658;-7.57667
"Deleite do Viajante, Lda.";"Outro";"Sabrosa";"1,244 €";"GALP";"Gasóleo colorido";"2025-03-31 13:10";"Vila Real";"Av. dos Combatentes da Grande Guerra, 17";"Sabrosa";"5060-302";41.2658;-7.57667
"Deleite do Viajante, Lda.";"Outro";"Sabrosa";"1,819 €";"GALP";"Gasolina simples 95";"2025-03-31 13:10";"Vila Real";"Av. dos Combatentes da Grande Guerra, 17";"Sabrosa";"5060-302";41.2658;-7.57667
"António Man & David Alexandre";"Outro";"Sabugal";"1,669 €";"GALP";"Gasóleo simples";"2025-03-31 13:10";"Guarda";"Rua António José de Almeida";"Sabugal";"6320-000";40.35306;-7.09525
"António Man & David Alexandre";"Outro";"Sabugal";"1,719 €";"GALP";"Gasóleo especial";"2025-03-31 13:10";"Guarda";"Rua António José de Almeida";"Sabugal";"6320-000";40.35306;-7.09525
"António Man & David Alexandre";"Outro";"Sabugal";"1,194 €";"GALP";"Gasóleo colorido";"2025-03-31 13:10";"Guarda";"Rua António José de Almeida";"Sabugal";"6320-000";40.35306;-7.09525
"António Man & David Alexandre";"Outro";"Sabugal";"1,794 €";"GALP";"Gasolina simples 95";"2025-03-31 13:10";"Guarda";"Rua António José de Almeida";"Sabugal";"6320-000";40.35306;-7.09525
"António Man & David Alexandre";"Outro";"Sabugal";"1,844 €";"GALP";"Gasolina especial 95";"2025-03-31 13:10";"Guarda";"Rua António José de Almeida";"Sabugal";"6320-000";40.35306;-7.09525
"DULCE RODRIGUES, LDA ";"Outro";"Sousel";"1,704 €";"GALP";"Gasóleo simples";"2025-03-31 13:10";"Portalegre";"Av. Nova nº 13";"Sousel";"7470-254";38.95202;-7.674621
"DULCE RODRIGUES, LDA ";"Outro";"Sousel";"1,754 €";"GALP";"Gasóleo especial";"2025-03-31 13:10";"Portalegre";"Av. Nova nº 13";"Sousel";"7470-254";38.95202;-7.674621
"DULCE RODRIGUES, LDA ";"Outro";"Sousel";"1,829 €";"GALP";"Gasolina simples 95";"2025-03-31 13:10";"Portalegre";"Av. Nova nº 13";"Sousel";"7470-254";38.95202;-7.674621
"DULCE RODRIGUES, LDA ";"Outro";"Sousel";"1,879 €";"GALP";"Gasolina especial 95";"2025-03-31 13:10";"Portalegre";"Av. Nova nº 13";"Sousel";"7470-254";38.95202;-7.674621
"AUTO MECANICO TABUENSE LDA";"Outro";"Tábua";"1,669 €";"GALP";"Gasóleo simples";"2025-03-31 13:10";"Coimbra";"Rua Dr. Francisco Beirão";"Tábua";"3420-325";40.359969;-8.029341
"AUTO MECANICO TABUENSE LDA";"Outro";"Tábua";"1,719 €";"GALP";"Gasóleo especial";"2025-03-31 13:10";"Coimbra";"Rua Dr. Francisco Beirão";"Tábua";"3420-325";40.359969;-8.029341
"AUTO MECANICO TABUENSE LDA";"Outro";"Tábua";"1,244 €";"GALP";"Gasóleo colorido";"2025-03-31 13:10";"Coimbra";"Rua Dr. Francisco Beirão";"Tábua";"3420-325";40.359969;-8.029341
"AUTO MECANICO TABUENSE LDA";"Outro";"Tábua";"1,794 €";"GALP";"Gasolina simples 95";"2025-03-31 13:10";"Coimbra";"Rua Dr. Francisco Beirão";"Tábua";"3420-325";40.359969;-8.029341
"AUTO MECANICO TABUENSE LDA";"Outro";"Tábua";"1,844 €";"GALP";"Gasolina especial 95";"2025-03-31 13:10";"Coimbra";"Rua Dr. Francisco Beirão";"Tábua";"3420-325";40.359969;-8.029341
"PETROGIR TABUA 2";"Outro";"Tábua";"1,669 €";"GALP";"Gasóleo simples";"2025-03-31 13:10";"Coimbra";"EN 17 Km 54,75";"Catraia de Mouronho";"3420-164";40.28895;-8.05773
"PETROGIR TABUA 2";"Outro";"Tábua";"1,719 €";"GALP";"Gasóleo especial";"2025-03-31 13:10";"Coimbra";"EN 17 Km 54,75";"Catraia de Mouronho";"3420-164";40.28895;-8.05773
"PETROGIR TABUA 2";"Outro";"Tábua";"1,244 €";"GALP";"Gasóleo colorido";"2025-03-31 13:10";"Coimbra";"EN 17 Km 54,75";"Catraia de Mouronho";"3420-164";40.28895;-8.05773
"PETROGIR TABUA 2";"Outro";"Tábua";"1,794 €";"GALP";"Gasolina simples 95";"2025-03-31 13:10";"Coimbra";"EN 17 Km 54,75";"Catraia de Mouronho";"3420-164";40.28895;-8.05773
"PETROGIR TABUA 2";"Outro";"Tábua";"1,844 €";"GALP";"Gasolina especial 95";"2025-03-31 13:10";"Coimbra";"EN 17 Km 54,75";"Catraia de Mouronho";"3420-164";40.28895;-8.05773
"João R. Fernandes & Fos. Lda.";"Outro";"Tarouca";"1,709 €";"GALP";"Gasóleo simples";"2025-03-31 13:10";"Viseu";"EN 226";"Mondim da Beira-Castanheiros do Douro";"3610-103";41.031609;-7.775286
"João R. Fernandes & Fos. Lda.";"Outro";"Tarouca";"1,769 €";"GALP";"Gasóleo especial";"2025-03-31 13:10";"Viseu";"EN 226";"Mondim da Beira-Castanheiros do Douro";"3610-103";41.031609;-7.775286
"João R. Fernandes & Fos. Lda.";"Outro";"Tarouca";"1,244 €";"GALP";"Gasóleo colorido";"2025-03-31 13:10";"Viseu";"EN 226";"Mondim da Beira-Castanheiros do Douro";"3610-103";41.031609;-7.775286
"João R. Fernandes & Fos. Lda.";"Outro";"Tarouca";"1,834 €";"GALP";"Gasolina simples 95";"2025-03-31 13:10";"Viseu";"EN 226";"Mondim da Beira-Castanheiros do Douro";"3610-103";41.031609;-7.775286
"João R. Fernandes & Fos. Lda.";"Outro";"Tarouca";"1,894 €";"GALP";"Gasolina especial 95";"2025-03-31 13:10";"Viseu";"EN 226";"Mondim da Beira-Castanheiros do Douro";"3610-103";41.031609;-7.775286
"A. Pinto - Com. de Comb. Lda.";"Outro";"Tavira";"1,669 €";"GALP";"Gasóleo simples";"2025-03-31 13:10";"Faro";"EN 125 Km 132,8";"São Pedro";"8800-255";37.11787;-7.66306
"A. Pinto - Com. de Comb. Lda.";"Outro";"Tavira";"1,719 €";"GALP";"Gasóleo especial";"2025-03-31 13:10";"Faro";"EN 125 Km 132,8";"São Pedro";"8800-255";37.11787;-7.66306
"A. Pinto - Com. de Comb. Lda.";"Outro";"Tavira";"1,244 €";"GALP";"Gasóleo colorido";"2025-03-31 13:10";"Faro";"EN 125 Km 132,8";"São Pedro";"8800-255";37.11787;-7.66306
"A. Pinto - Com. de Comb. Lda.";"Outro";"Tavira";"1,794 €";"GALP";"Gasolina simples 95";"2025-03-31 13:10";"Faro";"EN 125 Km 132,8";"São Pedro";"8800-255";37.11787;-7.66306
"A. Pinto - Com. de Comb. Lda.";"Outro";"Tavira";"1,844 €";"GALP";"Gasolina especial 95";"2025-03-31 13:10";"Faro";"EN 125 Km 132,8";"São Pedro";"8800-255";37.11787;-7.66306
"RODRIGUES & RAMOS, LDA.";"Outro";"Tavira";"1,669 €";"GALP";"Gasóleo simples";"2025-03-31 13:10";"Faro";"EN 125 Km 127";"Luz de Tavira";"8800-000";37.089846;-7.70834
"RODRIGUES & RAMOS, LDA.";"Outro";"Tavira";"1,719 €";"GALP";"Gasóleo especial";"2025-03-31 13:10";"Faro";"EN 125 Km 127";"Luz de Tavira";"8800-000";37.089846;-7.70834
"RODRIGUES & RAMOS, LDA.";"Outro";"Tavira";"1,244 €";"GALP";"Gasóleo colorido";"2025-03-31 13:10";"Faro";"EN 125 Km 127";"Luz de Tavira";"8800-000";37.089846;-7.70834
"RODRIGUES & RAMOS, LDA.";"Outro";"Tavira";"1,794 €";"GALP";"Gasolina simples 95";"2025-03-31 13:10";"Faro";"EN 125 Km 127";"Luz de Tavira";"8800-000";37.089846;-7.70834
"RODRIGUES & RAMOS, LDA.";"Outro";"Tavira";"1,844 €";"GALP";"Gasolina especial 95";"2025-03-31 13:10";"Faro";"EN 125 Km 127";"Luz de Tavira";"8800-000";37.089846;-7.70834
"A. Pinto - Com. de Comb. Lda";"Outro";"Tavira";"1,669 €";"GALP";"Gasóleo simples";"2025-03-31 13:10";"Faro";"EN 125 Km 132,8";"São Pedro";"8800-255";37.11808;-7.66325
"A. Pinto - Com. de Comb. Lda";"Outro";"Tavira";"1,719 €";"GALP";"Gasóleo especial";"2025-03-31 13:10";"Faro";"EN 125 Km 132,8";"São Pedro";"8800-255";37.11808;-7.66325
"A. Pinto - Com. de Comb. Lda";"Outro";"Tavira";"1,794 €";"GALP";"Gasolina simples 95";"2025-03-31 13:10";"Faro";"EN 125 Km 132,8";"São Pedro";"8800-255";37.11808;-7.66325
"A. Pinto - Com. de Comb. Lda";"Outro";"Tavira";"1,844 €";"GALP";"Gasolina especial 95";"2025-03-31 13:10";"Faro";"EN 125 Km 132,8";"São Pedro";"8800-255";37.11808;-7.66325
"GALP Bonfim ";"Outro";"Setúbal";"1,659 €";"GALP";"Gasóleo simples";"2025-03-31 13:10";"Setúbal";"Av. Rodrigues Manito";"Estádio do Bonfim";"2900-065";38.530296;-8.892191
"GALP Bonfim ";"Outro";"Setúbal";"1,709 €";"GALP";"Gasóleo especial";"2025-03-31 13:10";"Setúbal";"Av. Rodrigues Manito";"Estádio do Bonfim";"2900-065";38.530296;-8.892191
"GALP Bonfim ";"Outro";"Setúbal";"1,784 €";"GALP";"Gasolina simples 95";"2025-03-31 13:10";"Setúbal";"Av. Rodrigues Manito";"Estádio do Bonfim";"2900-065";38.530296;-8.892191
"GALP Bonfim ";"Outro";"Setúbal";"1,834 €";"GALP";"Gasolina especial 95";"2025-03-31 13:10";"Setúbal";"Av. Rodrigues Manito";"Estádio do Bonfim";"2900-065";38.530296;-8.892191
"GALP Bonfim ";"Outro";"Setúbal";"1,994 €";"GALP";"Gasolina especial 98";"2025-03-31 13:10";"Setúbal";"Av. Rodrigues Manito";"Estádio do Bonfim";"2900-065";38.530296;-8.892191
"LEONEL DO ROSÁRIO JORGE, LDA.";"Outro";"Setúbal";"1,659 €";"GALP";"Gasóleo simples";"2025-03-31 13:10";"Setúbal";"EN 10 Km 47,2";"Sítio dos Pontes";"2910-303";38.54968;-8.81143
"LEONEL DO ROSÁRIO JORGE, LDA.";"Outro";"Setúbal";"1,709 €";"GALP";"Gasóleo especial";"2025-03-31 13:10";"Setúbal";"EN 10 Km 47,2";"Sítio dos Pontes";"2910-303";38.54968;-8.81143
"LEONEL DO ROSÁRIO JORGE, LDA.";"Outro";"Setúbal";"1,244 €";"GALP";"Gasóleo colorido";"2025-03-31 13:10";"Setúbal";"EN 10 Km 47,2";"Sítio dos Pontes";"2910-303";38.54968;-8.81143
"LEONEL DO ROSÁRIO JORGE, LDA.";"Outro";"Setúbal";"1,784 €";"GALP";"Gasolina simples 95";"2025-03-31 13:10";"Setúbal";"EN 10 Km 47,2";"Sítio dos Pontes";"2910-303";38.54968;-8.81143
"LEONEL DO ROSÁRIO JORGE, LDA.";"Outro";"Setúbal";"1,834 €";"GALP";"Gasolina especial 95";"2025-03-31 13:10";"Setúbal";"EN 10 Km 47,2";"Sítio dos Pontes";"2910-303";38.54968;-8.81143
"LEONEL ROSÁRIO JORGE, LDA.";"Outro";"Setúbal";"1,659 €";"GALP";"Gasóleo simples";"2025-03-31 13:10";"Setúbal";"EN 10 Km 47,2";"Sítio dos Pontes";"2910-302";38.550012;-8.811718
"LEONEL ROSÁRIO JORGE, LDA.";"Outro";"Setúbal";"1,709 €";"GALP";"Gasóleo especial";"2025-03-31 13:10";"Setúbal";"EN 10 Km 47,2";"Sítio dos Pontes";"2910-302";38.550012;-8.811718
"LEONEL ROSÁRIO JORGE, LDA.";"Outro";"Setúbal";"1,784 €";"GALP";"Gasolina simples 95";"2025-03-31 13:10";"Setúbal";"EN 10 Km 47,2";"Sítio dos Pontes";"2910-302";38.550012;-8.811718
"LEONEL ROSÁRIO JORGE, LDA.";"Outro";"Setúbal";"1,834 €";"GALP";"Gasolina especial 95";"2025-03-31 13:10";"Setúbal";"EN 10 Km 47,2";"Sítio dos Pontes";"2910-302";38.550012;-8.811718
"Estação de Serviço Central";"Outro";"Setúbal";"0,989 €";"GALP";"GPL Auto";"2025-03-31 13:10";"Setúbal";"Av. Infante D. Henrique";"Setúbal";"2910-529";38.529193;-8.875492
"Estação de Serviço Central";"Outro";"Setúbal";"1,659 €";"GALP";"Gasóleo simples";"2025-03-31 13:10";"Setúbal";"Av. Infante D. Henrique";"Setúbal";"2910-529";38.529193;-8.875492
"Estação de Serviço Central";"Outro";"Setúbal";"1,709 €";"GALP";"Gasóleo especial";"2025-03-31 13:10";"Setúbal";"Av. Infante D. Henrique";"Setúbal";"2910-529";38.529193;-8.875492
"Estação de Serviço Central";"Outro";"Setúbal";"1,784 €";"GALP";"Gasolina simples 95";"2025-03-31 13:10";"Setúbal";"Av. Infante D. Henrique";"Setúbal";"2910-529";38.529193;-8.875492
"Estação de Serviço Central";"Outro";"Setúbal";"1,834 €";"GALP";"Gasolina especial 95";"2025-03-31 13:10";"Setúbal";"Av. Infante D. Henrique";"Setúbal";"2910-529";38.529193;-8.875492
"NELSON LOUREIRO LDA";"Outro";"Sever do Vouga";"1,694 €";"GALP";"Gasóleo simples";"2025-03-31 13:10";"Aveiro";"EN 16 Km 34,425";"Pessegueiro do Vouga";"3740-000";40.70874;-8.35728
"NELSON LOUREIRO LDA";"Outro";"Sever do Vouga";"1,754 €";"GALP";"Gasóleo especial";"2025-03-31 13:10";"Aveiro";"EN 16 Km 34,425";"Pessegueiro do Vouga";"3740-000";40.70874;-8.35728
"NELSON LOUREIRO LDA";"Outro";"Sever do Vouga";"1,244 €";"GALP";"Gasóleo colorido";"2025-03-31 13:10";"Aveiro";"EN 16 Km 34,425";"Pessegueiro do Vouga";"3740-000";40.70874;-8.35728
"NELSON LOUREIRO LDA";"Outro";"Sever do Vouga";"1,819 €";"GALP";"Gasolina simples 95";"2025-03-31 13:10";"Aveiro";"EN 16 Km 34,425";"Pessegueiro do Vouga";"3740-000";40.70874;-8.35728
"NELSON LOUREIRO LDA";"Outro";"Sever do Vouga";"1,879 €";"GALP";"Gasolina especial 95";"2025-03-31 13:10";"Aveiro";"EN 16 Km 34,425";"Pessegueiro do Vouga";"3740-000";40.70874;-8.35728
"Lotiarm - Comércio de Veículos, S.A.";"Outro";"Sever do Vouga";"1,694 €";"GALP";"Gasóleo simples";"2025-03-31 13:10";"Aveiro";"EN 328 Km 18,85";"Sever do Vouga";"3740-000";40.73135;-8.36717
"Lotiarm - Comércio de Veículos, S.A.";"Outro";"Sever do Vouga";"1,754 €";"GALP";"Gasóleo especial";"2025-03-31 13:10";"Aveiro";"EN 328 Km 18,85";"Sever do Vouga";"3740-000";40.73135;-8.36717
"Lotiarm - Comércio de Veículos, S.A.";"Outro";"Sever do Vouga";"1,819 €";"GALP";"Gasolina simples 95";"2025-03-31 13:10";"Aveiro";"EN 328 Km 18,85";"Sever do Vouga";"3740-000";40.73135;-8.36717
"Lotiarm - Comércio de Veículos, S.A.";"Outro";"Sever do Vouga";"1,879 €";"GALP";"Gasolina especial 95";"2025-03-31 13:10";"Aveiro";"EN 328 Km 18,85";"Sever do Vouga";"3740-000";40.73135;-8.36717
"Lotiarm - Comércio de Veículos, S.A.";"Outro";"Sever do Vouga";"2,029 €";"GALP";"Gasolina especial 98";"2025-03-31 13:10";"Aveiro";"EN 328 Km 18,85";"Sever do Vouga";"3740-000";40.73135;-8.36717
"Mendes & Loureiro - Comb. e Lubs., Lda";"Outro";"Sever do Vouga";"1,694 €";"GALP";"Gasóleo simples";"2025-03-31 13:10";"Aveiro";"EN 328 Km 17,3";"Sever do Vouga";"3740-000";40.73672;-8.37521
"Mendes & Loureiro - Comb. e Lubs., Lda";"Outro";"Sever do Vouga";"1,754 €";"GALP";"Gasóleo especial";"2025-03-31 13:10";"Aveiro";"EN 328 Km 17,3";"Sever do Vouga";"3740-000";40.73672;-8.37521
"Mendes & Loureiro - Comb. e Lubs., Lda";"Outro";"Sever do Vouga";"1,244 €";"GALP";"Gasóleo colorido";"2025-03-31 13:10";"Aveiro";"EN 328 Km 17,3";"Sever do Vouga";"3740-000";40.73672;-8.37521
"Mendes & Loureiro - Comb. e Lubs., Lda";"Outro";"Sever do Vouga";"1,819 €";"GALP";"Gasolina simples 95";"2025-03-31 13:10";"Aveiro";"EN 328 Km 17,3";"Sever do Vouga";"3740-000";40.73672;-8.37521
"Mendes & Loureiro - Comb. e Lubs., Lda";"Outro";"Sever do Vouga";"1,879 €";"GALP";"Gasolina especial 95";"2025-03-31 13:10";"Aveiro";"EN 328 Km 17,3";"Sever do Vouga";"3740-000";40.73672;-8.37521
"Lubriolhão, lda";"Outro";"Silves";"1,704 €";"GALP";"Gasóleo simples";"2025-03-31 13:10";"Faro";"EN 264 Km 78,6";"São Marcos da Serra";"8375-223";37.346064;-8.358329
"Lubriolhão, lda";"Outro";"Silves";"1,764 €";"GALP";"Gasóleo especial";"2025-03-31 13:10";"Faro";"EN 264 Km 78,6";"São Marcos da Serra";"8375-223";37.346064;-8.358329
"Lubriolhão, lda";"Outro";"Silves";"1,244 €";"GALP";"Gasóleo colorido";"2025-03-31 13:10";"Faro";"EN 264 Km 78,6";"São Marcos da Serra";"8375-223";37.346064;-8.358329
"Lubriolhão, lda";"Outro";"Silves";"1,829 €";"GALP";"Gasolina simples 95";"2025-03-31 13:10";"Faro";"EN 264 Km 78,6";"São Marcos da Serra";"8375-223";37.346064;-8.358329
"Lubriolhão, lda";"Outro";"Silves";"1,889 €";"GALP";"Gasolina especial 95";"2025-03-31 13:10";"Faro";"EN 264 Km 78,6";"São Marcos da Serra";"8375-223";37.346064;-8.358329
"J. M. ESTIVEIRA, LDA.";"Outro";"Silves";"1,694 €";"GALP";"Gasóleo simples";"2025-03-31 13:10";"Faro";"EN 124";"Enxerim";"8300-025";37.19666;-8.43019
"J. M. ESTIVEIRA, LDA.";"Outro";"Silves";"1,744 €";"GALP";"Gasóleo especial";"2025-03-31 13:10";"Faro";"EN 124";"Enxerim";"8300-025";37.19666;-8.43019
"J. M. ESTIVEIRA, LDA.";"Outro";"Silves";"1,819 €";"GALP";"Gasolina simples 95";"2025-03-31 13:10";"Faro";"EN 124";"Enxerim";"8300-025";37.19666;-8.43019
"J. M. ESTIVEIRA, LDA.";"Outro";"Silves";"1,869 €";"GALP";"Gasolina especial 95";"2025-03-31 13:10";"Faro";"EN 124";"Enxerim";"8300-025";37.19666;-8.43019
"J. M. ESTIVEIRA, LDA.";"Outro";"Silves";"2,029 €";"GALP";"Gasolina especial 98";"2025-03-31 13:10";"Faro";"EN 124";"Enxerim";"8300-025";37.19666;-8.43019
"PETROSIRIUS, LDA";"Outro";"Silves";"1,659 €";"GALP";"Gasóleo simples";"2025-03-31 13:10";"Faro";"EN 125 Km 63,123";"Pêra";"8365-204";37.12429;-8.33504
"PETROSIRIUS, LDA";"Outro";"Silves";"1,709 €";"GALP";"Gasóleo especial";"2025-03-31 13:10";"Faro";"EN 125 Km 63,123";"Pêra";"8365-204";37.12429;-8.33504
"PETROSIRIUS, LDA";"Outro";"Silves";"1,784 €";"GALP";"Gasolina simples 95";"2025-03-31 13:10";"Faro";"EN 125 Km 63,123";"Pêra";"8365-204";37.12429;-8.33504
"PETROSIRIUS, LDA";"Outro";"Silves";"1,834 €";"GALP";"Gasolina especial 95";"2025-03-31 13:10";"Faro";"EN 125 Km 63,123";"Pêra";"8365-204";37.12429;-8.33504
"PETROSIRIUS, LDA";"Outro";"Silves";"1,659 €";"GALP";"Gasóleo simples";"2025-03-31 13:10";"Faro";"EN 125 Km 63,1";"Pêra";"8365-204";37.123916;-8.334876
"PETROSIRIUS, LDA";"Outro";"Silves";"1,709 €";"GALP";"Gasóleo especial";"2025-03-31 13:10";"Faro";"EN 125 Km 63,1";"Pêra";"8365-204";37.123916;-8.334876
"PETROSIRIUS, LDA";"Outro";"Silves";"1,244 €";"GALP";"Gasóleo colorido";"2025-03-31 13:10";"Faro";"EN 125 Km 63,1";"Pêra";"8365-204";37.123916;-8.334876
"PETROSIRIUS, LDA";"Outro";"Silves";"1,784 €";"GALP";"Gasolina simples 95";"2025-03-31 13:10";"Faro";"EN 125 Km 63,1";"Pêra";"8365-204";37.123916;-8.334876
"PETROSIRIUS, LDA";"Outro";"Silves";"1,834 €";"GALP";"Gasolina especial 95";"2025-03-31 13:10";"Faro";"EN 125 Km 63,1";"Pêra";"8365-204";37.123916;-8.334876
"ARM – Soc.Algarvia de Comb.lda";"Outro";"Silves";"1,694 €";"GALP";"Gasóleo simples";"2025-03-31 13:10";"Faro";"EN 124 Km 17,9";"Silves";"8300-000";37.18601;-8.44411
"ARM – Soc.Algarvia de Comb.lda";"Outro";"Silves";"1,744 €";"GALP";"Gasóleo especial";"2025-03-31 13:10";"Faro";"EN 124 Km 17,9";"Silves";"8300-000";37.18601;-8.44411
"ARM – Soc.Algarvia de Comb.lda";"Outro";"Silves";"1,819 €";"GALP";"Gasolina simples 95";"2025-03-31 13:10";"Faro";"EN 124 Km 17,9";"Silves";"8300-000";37.18601;-8.44411
"ARM – Soc.Algarvia de Comb.lda";"Outro";"Silves";"1,869 €";"GALP";"Gasolina especial 95";"2025-03-31 13:10";"Faro";"EN 124 Km 17,9";"Silves";"8300-000";37.18601;-8.44411
"INOGÁS - COMERCIO DE COMBUSTIVEIS, LDA";"Outro";"Silves";"1,709 €";"GALP";"Gasóleo simples";"2025-03-31 13:10";"Faro";"EN 124 Km 35,7";"São Bartolomeu de Messines";"8375-000";37.2558;-8.28226
"INOGÁS - COMERCIO DE COMBUSTIVEIS, LDA";"Outro";"Silves";"1,759 €";"GALP";"Gasóleo especial";"2025-03-31 13:10";"Faro";"EN 124 Km 35,7";"São Bartolomeu de Messines";"8375-000";37.2558;-8.28226
"INOGÁS - COMERCIO DE COMBUSTIVEIS, LDA";"Outro";"Silves";"1,244 €";"GALP";"Gasóleo colorido";"2025-03-31 13:10";"Faro";"EN 124 Km 35,7";"São Bartolomeu de Messines";"8375-000";37.2558;-8.28226
"INOGÁS - COMERCIO DE COMBUSTIVEIS, LDA";"Outro";"Silves";"1,834 €";"GALP";"Gasolina simples 95";"2025-03-31 13:10";"Faro";"EN 124 Km 35,7";"São Bartolomeu de Messines";"8375-000";37.2558;-8.28226
"INOGÁS - COMERCIO DE COMBUSTIVEIS, LDA";"Outro";"Silves";"1,884 €";"GALP";"Gasolina especial 95";"2025-03-31 13:10";"Faro";"EN 124 Km 35,7";"São Bartolomeu de Messines";"8375-000";37.2558;-8.28226
"NOEMIA G. G. VILHENA VARGAS";"Outro";"Sines";"1,704 €";"GALP";"Gasóleo simples";"2025-03-31 13:10";"Setúbal";"EM";"Porto Côvo";"7520-437";37.853789;-8.785624
"NOEMIA G. G. VILHENA VARGAS";"Outro";"Sines";"1,754 €";"GALP";"Gasóleo especial";"2025-03-31 13:10";"Setúbal";"EM";"Porto Côvo";"7520-437";37.853789;-8.785624
"NOEMIA G. G. VILHENA VARGAS";"Outro";"Sines";"1,244 €";"GALP";"Gasóleo colorido";"2025-03-31 13:10";"Setúbal";"EM";"Porto Côvo";"7520-437";37.853789;-8.785624
"NOEMIA G. G. VILHENA VARGAS";"Outro";"Sines";"1,829 €";"GALP";"Gasolina simples 95";"2025-03-31 13:10";"Setúbal";"EM";"Porto Côvo";"7520-437";37.853789;-8.785624
"NOEMIA G. G. VILHENA VARGAS";"Outro";"Sines";"1,879 €";"GALP";"Gasolina especial 95";"2025-03-31 13:10";"Setúbal";"EM";"Porto Côvo";"7520-437";37.853789;-8.785624
"GALP Sines";"Outro";"Sines";"0,969 €";"GALP";"GPL Auto";"2025-03-31 13:10";"Setúbal";"Av. Gen. Humberto Delgado";"Sines";"7520-106";37.959301;-8.859117
"GALP Sines";"Outro";"Sines";"2,354 €";"GALP";"GNL (gás natural liquefeito) - €/kg";"2025-03-31 13:10";"Setúbal";"Av. Gen. Humberto Delgado";"Sines";"7520-106";37.959301;-8.859117
"GALP Sines";"Outro";"Sines";"1,709 €";"GALP";"Gasóleo simples";"2025-03-31 13:10";"Setúbal";"Av. Gen. Humberto Delgado";"Sines";"7520-106";37.959301;-8.859117
"GALP Sines";"Outro";"Sines";"1,759 €";"GALP";"Gasóleo especial";"2025-03-31 13:10";"Setúbal";"Av. Gen. Humberto Delgado";"Sines";"7520-106";37.959301;-8.859117
"GALP Sines";"Outro";"Sines";"1,829 €";"GALP";"Gasolina simples 95";"2025-03-31 13:10";"Setúbal";"Av. Gen. Humberto Delgado";"Sines";"7520-106";37.959301;-8.859117
"GALP Sines";"Outro";"Sines";"1,879 €";"GALP";"Gasolina especial 95";"2025-03-31 13:10";"Setúbal";"Av. Gen. Humberto Delgado";"Sines";"7520-106";37.959301;-8.859117
"Alchemy Explorers – Combustíveis, Lda.";"Outro";"Sintra";"1,714 €";"GALP";"Gasóleo simples";"2025-03-31 13:10";"Lisboa";"Estrada das Mercês";"Tapada das Mercês-Rinchoa";"2725-093";38.798481;-9.324393
"Alchemy Explorers – Combustíveis, Lda.";"Outro";"Sintra";"1,764 €";"GALP";"Gasóleo especial";"2025-03-31 13:10";"Lisboa";"Estrada das Mercês";"Tapada das Mercês-Rinchoa";"2725-093";38.798481;-9.324393
"Alchemy Explorers – Combustíveis, Lda.";"Outro";"Sintra";"1,829 €";"GALP";"Gasolina simples 95";"2025-03-31 13:10";"Lisboa";"Estrada das Mercês";"Tapada das Mercês-Rinchoa";"2725-093";38.798481;-9.324393
"Alchemy Explorers – Combustíveis, Lda.";"Outro";"Sintra";"1,879 €";"GALP";"Gasolina especial 95";"2025-03-31 13:10";"Lisboa";"Estrada das Mercês";"Tapada das Mercês-Rinchoa";"2725-093";38.798481;-9.324393
"Alchemy Explorers – Combustíveis, Lda.";"Outro";"Sintra";"2,039 €";"GALP";"Gasolina especial 98";"2025-03-31 13:10";"Lisboa";"Estrada das Mercês";"Tapada das Mercês-Rinchoa";"2725-093";38.798481;-9.324393
"Galp Massamá Norte 11170";"Outro";"Sintra";"1,694 €";"GALP";"Gasóleo simples";"2025-03-31 13:10";"Lisboa";"Rua D.Carlota Joaquina, 1";"Queluz";"2745-666";38.761368;-9.279237
"Galp Massamá Norte 11170";"Outro";"Sintra";"1,744 €";"GALP";"Gasóleo especial";"2025-03-31 13:10";"Lisboa";"Rua D.Carlota Joaquina, 1";"Queluz";"2745-666";38.761368;-9.279237
"Galp Massamá Norte 11170";"Outro";"Sintra";"1,819 €";"GALP";"Gasolina simples 95";"2025-03-31 13:10";"Lisboa";"Rua D.Carlota Joaquina, 1";"Queluz";"2745-666";38.761368;-9.279237
"Galp Massamá Norte 11170";"Outro";"Sintra";"1,869 €";"GALP";"Gasolina especial 95";"2025-03-31 13:10";"Lisboa";"Rua D.Carlota Joaquina, 1";"Queluz";"2745-666";38.761368;-9.279237
"OPTIMISTIKPRIORITY - COMB., LDA.";"Outro";"Sintra";"1,714 €";"GALP";"Gasóleo simples";"2025-03-31 13:10";"Lisboa";"Rua António Feijó";"Rio de Mouro-Alto do Forte";"2725-223";38.787727;-9.341358
